candidate,election_status,status_of_candidate,specific_party,general_party,election_jurisdiction,election_year,election_type,office_sought,incumbency_status,specific_business,general_industry,broad_sector,#_of_records,total_$
"NELSON, BILL",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,FL,2018,STANDARD,US SENATE DISTRICT FL SW-CLASS I,INCUMBENT,NURSING HOMES,HOSPITALS & NURSING HOMES,HEALTH,49,"$56,431"
"SCOTT, RICHARD L (RICK)",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,FL,2018,STANDARD,US SENATE DISTRICT FL SW-CLASS I,CHALLENGER,CONSTRUCTION & PUBLIC WORKS,GENERAL CONTRACTORS,CONSTRUCTION,38,"$56,176"
"NELSON, BILL",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,FL,2018,STANDARD,US SENATE DISTRICT FL SW-CLASS I,INCUMBENT,CONSTRUCTION UNIONS,GENERAL TRADE UNIONS,LABOR,31,"$56,132"
"NELSON, BILL",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,FL,2018,STANDARD,US SENATE DISTRICT FL SW-CLASS I,INCUMBENT,CANDIDATE COMMITTEES,CANDIDATE COMMITTEES,CANDIDATE CONTRIBUTIONS,79,"$55,241"
"NELSON, BILL",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,FL,2018,STANDARD,US SENATE DISTRICT FL SW-CLASS I,INCUMBENT,"PUBLIC SCHOOL TEACHERS, ADMINISTRATORS & OFFICIALS",EDUCATION,GOVERNMENT AGENCIES/EDUCATION/OTHER,602,"$54,352"
"SCOTT, RICHARD L (RICK)",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,FL,2018,STANDARD,US SENATE DISTRICT FL SW-CLASS I,CHALLENGER,HOSPITALS,HOSPITALS & NURSING HOMES,HEALTH,34,"$51,945"
"NELSON, BILL",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,FL,2018,STANDARD,US SENATE DISTRICT FL SW-CLASS I,INCUMBENT,CIVIL SERVANT/PUBLIC EMPLOYEE,CIVIL SERVANTS/PUBLIC OFFICIALS,GOVERNMENT AGENCIES/EDUCATION/OTHER,373,"$51,498"
"SCOTT, RICHARD L (RICK)",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,FL,2018,STANDARD,US SENATE DISTRICT FL SW-CLASS I,CHALLENGER,PROPERTY & CASUALTY INSURANCE,INSURANCE,"FINANCE, INSURANCE & REAL ESTATE",54,"$50,800"
"NELSON, BILL",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,FL,2018,STANDARD,US SENATE DISTRICT FL SW-CLASS I,INCUMBENT,RAILROADS,RAILROADS,ENERGY & NATURAL RESOURCES,27,"$48,850"
"SCOTT, RICHARD L (RICK)",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,FL,2018,STANDARD,US SENATE DISTRICT FL SW-CLASS I,CHALLENGER,INVESTORS,MISCELLANEOUS FINANCE,"FINANCE, INSURANCE & REAL ESTATE",34,"$48,775"
"SCOTT, RICHARD L (RICK)",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,FL,2018,STANDARD,US SENATE DISTRICT FL SW-CLASS I,CHALLENGER,"FINANCE, INSURANCE & REAL ESTATE","MISCELLANEOUS FINANCE, INSURANCE & REAL ESTATE","FINANCE, INSURANCE & REAL ESTATE",34,"$48,650"
"NELSON, BILL",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,FL,2018,STANDARD,US SENATE DISTRICT FL SW-CLASS I,INCUMBENT,"HOMEMAKERS, STUDENTS & OTHER NON-INCOME EARNERS",HOMEMAKERS/NON-INCOME EARNERS,UNCODED,283,"$48,336"
